alpha,AAC6,Plasmid,Not_in_either,Rank_AAC6,Rank_plasmid,n_comp_plasmid
1e-12,0,0,0,-1,-1,-1
1e-11,0,0,0,-1,-1,-1
1e-10,0,0,0,-1,-1,-1
1e-09,0,0,0,-1,-1,-1
1e-08,0,0.01050420168067227,0.8611111111111112,-1,1,1
1e-07,1,0.10294117647058823,0.7126436781609196,9,1,5
1e-06,1,0.9621848739495799,0.41078305519897307,2,1,1
1e-05,1,0.9642857142857143,0.7108736643620365,2,1,1
1e-04,1,0.9684873949579832,0.864951768488746,2,1,1
0.001,1,0.9705882352941176,0.9401267296004138,2,1,1
