alpha,AAC6,Plasmid,Not_in_either,Rank_AAC6,Rank_plasmid,n_comp_plasmid
1e-12,0,0,0,-1,-1,-1
1e-11,0,0,0,-1,-1,-1
1e-10,0,0,0,-1,-1,-1
1e-9,0,0,0,-1,-1,-1
1e-8,1,0,0,1,-1,-1
1e-7,1,0,0,1,-1,-1
1e-6,1,0,0.5,1,-1,-1
1e-5,1,0.01680672268907563,0.4705882352941176,1,4,5
1e-4,1,0.07563025210084033,0.6185567010309279,1,4,2
0.001,1,0.0819327731092437,0.8347107438016529,1,4,3
0.01,1,0.4054621848739496,0.8713527851458885,1,4,1
0.1,1,0.5756302521008403,0.9643782383419688,1,4,1
