Analysis,TN,FN,TP,FP
All Unitigs,337,362,5,0
All Stages,334,0,367,3
DBGWAS,337,366,1,0
Stage1,337,367,0,0
Stage2,337,367,0,0
Stage3,337,345,22,0
Stage5,337,137,230,0
Stage10,332,0,367,5
Stage15,334,0,367,3
Stage20,334,0,367,3
kmer fixed,8,5525,1,8
kmer lmm,90,5324,202,90
kmer wg,53,5526,0,53
