Analysis,TN,FN,TP,FP
All Unitigs,337,245,122,0
All Stages,327,0,367,10
DBGWAS,337,357,10,0
Stage1,337,360,7,0
Stage2,337,272,95,0
Stage3,337,120,247,0
Stage5,332,11,356,5
Stage10,325,0,367,12
Stage15,327,0,367,10
Stage20,327,0,367,10
kmer fixed,169,5423,103,169
kmer lmm,90,5324,202,90
kmer wg,53,5526,0,53
