Analysis,TN,FN,TP,FP
All Unitigs,337,341,26,0
All Stages,330,0,367,7
DBGWAS,337,364,3,0
Stage1,337,367,0,0
Stage2,337,360,7,0
Stage3,337,275,92,0
Stage5,335,33,334,2
Stage10,330,0,367,7
Stage15,330,0,367,7
Stage20,330,0,367,7
