Analysis,TN,FN,TP,FP
All Unitigs,337,140,227,0
All Stages,319,0,367,18
DBGWAS,337,333,34,0
Stage1,337,344,23,0
Stage2,337,169,198,0
Stage3,337,39,328,0
Stage5,331,87,280,6
Stage10,323,44,323,14
Stage15,319,0,367,18
Stage20,319,0,367,18
